id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15420,Georgian Boutique Apt City Centre,60423,Charlotte,,"Old Town, Princes Street and Leith Street",55.95689,-3.18768,Entire home/apt,80,3,283,2019-06-23,2.76,1,193
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",46498,Gordon,,Meadows and Southside,55.94265,-3.18467,Entire home/apt,115,2,199,2019-06-19,1.86,1,4
38628,Edinburgh Holiday Let,165635,Trish,,Joppa,55.94308,-3.09525,Entire home/apt,46,4,52,2019-05-29,0.85,2,288
44552,Double room - spacious Leith flat,195950,Shaun,,South Leith,55.966,-3.17241,Private room,32,2,184,2019-06-04,1.71,1,136
47616,"City flat, close to nature and the Fringe",216203,Ben,,"Canongate, Southside and Dumbiedykes",55.94732,-3.17851,Private room,100,1,32,2019-05-26,0.84,1,0
48645,Large Sunny Room on Royal Mile,221474,Mark,,"Old Town, Princes Street and Leith Street",55.95113,-3.1838,Private room,71,1,762,2019-06-22,7.44,2,128
51505,Superb City Centre Apartment,236828,Francois,,New Town West,55.95503,-3.19834,Entire home/apt,175,3,7,2019-01-27,0.07,7,0
54188,The Four Sisters Boatel,253850,Natalie,,Tollcross,55.94257,-3.20801,Entire home/apt,150,2,28,2018-10-15,0.34,1,260
55881,Lovely central apartment sleeps 6,264345,Susie,,Hillside and Calton Hill,55.96049,-3.17828,Entire home/apt,139,2,222,2019-06-16,2.23,1,258
58682,Beautiful Apartment in Edinburgh,281109,Rona,,Deans Village,55.95471,-3.21612,Entire home/apt,190,2,142,2019-05-28,2.01,4,152
67706,Lovely central flat in New Town,334476,F,,New Town East and Gayfield,55.9575,-3.19003,Entire home/apt,85,5,14,2018-06-24,0.38,1,236
74877,Stunning One Bedroom Loft Apartment With Balcony,394949,Derek,,North Leith and Newhaven,55.97738,-3.18064,Entire home/apt,64,2,60,2019-06-13,0.66,1,142
85620,Rustic Urban Retreat in City View Flat,334208,Carrie,,Leith (Albert Street),55.96164,-3.17627,Entire home/apt,79,2,393,2019-06-23,4.04,2,254
